C_day_H = 100;
C_day_F = 10;
C_mtn = 1000;
D_m = 365;
E_solar = 200000;
rho_avion = 2;
rho_HCM_F = 20;
rho_PAT = 15;
rho_inter_F = 35.1;
sigma = 3.5e-06;
rho_FSO_tx = 1;
R_tx = 0.05;
rho_rx = 7.76e-08;
P_tx = 1;
R_rx = 2;
H = 20000;
L_HH = 88000;
W = 80;
m_H = 500;
m_F = 6.3;
nHAP = 12;
nd = 16;
V = 10;
MAX_XY = 94797;
max_M = 20;
x_FSO = [28104,40875,78792,7654,88884,86913,76635,46030,16970,33036,43115,56896,11628,62372,69512,90750];
y_FSO = [42656,29266,18700,94797,71423,44834,11552,13616,51914,53718,52805,71240,2118,93264,5769,36618];
R_ext_m = [6825.590543,6825.590543,6825.590543,6825.590543,7490.421303,11226.20761,13616.79596,15233.39051,16371.45547,17198.97685,17817.25162,18290.04555,18658.92765,18951.82083,19187.98057,19380.99786,19540.66683,19674.1781,19786.90015,19882.90228,19965.31174];
